name,seq,Plod,Condtion,Answer,Corr,Time
,1,Ackee,14,,1,
,1,Ackee,14,,7,
,1,Ackee,14,,1,
,1,Ackee,14,,7,
,1,Ackee,14,,1,
,1,Ackee,14,,1,
,1,Ackee,14,,7,
,1,Gac,17,,7,
,1,Gac,17,,7,
,1,Gac,17,,7,
,1,Gac,17,,1,
,1,Gac,17,,1,
,1,Gac,17,,1,
,1,Gac,17,,1,
,1,ZF,17,,7,
,1,ZF,17,,1,
,1,ZF,17,,7,
,1,ZF,17,,1,
,1,ZF,17,,1,
,1,ZF,17,,7,
,1,ZF,17,,1,
,1,Noni,14,,1,
,1,Noni,14,,1,
,1,Noni,14,,7,
,1,Noni,14,,1,
,1,Noni,14,,1,
,1,Noni,14,,7,
,1,Noni,14,,7,
,1,Sapota,15,,7,
,1,Sapota,15,,1,
,1,Sapota,15,,1,
,1,Sapota,15,,1,
,1,Sapota,15,,1,
,1,Sapota,15,,7,
,1,Sapota,15,,7,
,1,Tamanid,16,,7,
,1,Tamanid,16,,1,
,1,Tamanid,16,,7,
,1,Tamanid,16,,1,
,1,Tamanid,16,,7,
,1,Tamanid,16,,1,
,1,Tamanid,16,,1,
,1,Ake,15,,1,
,1,Ake,15,,1,
,1,Ake,15,,1,
,1,Ake,15,,1,
,1,Ake,15,,7,
,1,Ake,15,,7,
,1,Ake,15,,7,
,1,Finger,16,,1,
,1,Finger,16,,7,
,1,Finger,16,,7,
,1,Finger,16,,1,
,1,Finger,16,,1,
,1,Finger,16,,1,
,1,Finger,16,,7,
,2,Ackee,15,,1,
,2,Ackee,15,,7,
,2,Ackee,15,,1,
,2,Ackee,15,,7,
,2,Ackee,15,,1,
,2,Ackee,15,,1,
,2,Ackee,15,,7,
,2,Gac,14,,7,
,2,Gac,14,,7,
,2,Gac,14,,7,
,2,Gac,14,,1,
,2,Gac,14,,1,
,2,Gac,14,,1,
,2,Gac,14,,1,
,2,ZF,14,,7,
,2,ZF,14,,1,
,2,ZF,14,,7,
,2,ZF,14,,1,
,2,ZF,14,,1,
,2,ZF,14,,7,
,2,ZF,14,,1,
,2,Noni,15,,1,
,2,Noni,15,,1,
,2,Noni,15,,7,
,2,Noni,15,,1,
,2,Noni,15,,1,
,2,Noni,15,,7,
,2,Noni,15,,7,
,2,Sapota,16,,7,
,2,Sapota,16,,1,
,2,Sapota,16,,1,
,2,Sapota,16,,1,
,2,Sapota,16,,1,
,2,Sapota,16,,7,
,2,Sapota,16,,7,
,2,Tamanid,17,,7,
,2,Tamanid,17,,1,
,2,Tamanid,17,,7,
,2,Tamanid,17,,1,
,2,Tamanid,17,,7,
,2,Tamanid,17,,1,
,2,Tamanid,17,,1,
,2,Ake,16,,1,
,2,Ake,16,,1,
,2,Ake,16,,1,
,2,Ake,16,,1,
,2,Ake,16,,7,
,2,Ake,16,,7,
,2,Ake,16,,7,
,2,Finger,17,,1,
,2,Finger,17,,7,
,2,Finger,17,,7,
,2,Finger,17,,1,
,2,Finger,17,,1,
,2,Finger,17,,1,
,2,Finger,17,,7,
,3,Ackee,15,,1,
,3,Ackee,15,,7,
,3,Ackee,15,,1,
,3,Ackee,15,,7,
,3,Ackee,15,,1,
,3,Ackee,15,,1,
,3,Ackee,15,,7,
,3,Gac,14,,7,
,3,Gac,14,,7,
,3,Gac,14,,7,
,3,Gac,14,,1,
,3,Gac,14,,1,
,3,Gac,14,,1,
,3,Gac,14,,1,
,3,ZF,14,,7,
,3,ZF,14,,1,
,3,ZF,14,,7,
,3,ZF,14,,1,
,3,ZF,14,,1,
,3,ZF,14,,7,
,3,ZF,14,,1,
,3,Noni,15,,1,
,3,Noni,15,,1,
,3,Noni,15,,7,
,3,Noni,15,,1,
,3,Noni,15,,1,
,3,Noni,15,,7,
,3,Noni,15,,7,
,3,Sapota,16,,7,
,3,Sapota,16,,1,
,3,Sapota,16,,1,
,3,Sapota,16,,1,
,3,Sapota,16,,1,
,3,Sapota,16,,7,
,3,Sapota,16,,7,
,3,Tamanid,17,,7,
,3,Tamanid,17,,1,
,3,Tamanid,17,,7,
,3,Tamanid,17,,1,
,3,Tamanid,17,,7,
,3,Tamanid,17,,1,
,3,Tamanid,17,,1,
,3,Ake,16,,1,
,3,Ake,16,,1,
,3,Ake,16,,1,
,3,Ake,16,,1,
,3,Ake,16,,7,
,3,Ake,16,,7,
,3,Ake,16,,7,
,3,Finger,17,,1,
,3,Finger,17,,7,
,3,Finger,17,,7,
,3,Finger,17,,1,
,3,Finger,17,,1,
,3,Finger,17,,1,
,3,Finger,17,,7,
,3,Ackee,15,,1,
