pic,value,key,,,,,,,,,
Ackee_1_seq_1,14,14,,,,,,,,,
Ake_1_seq_1,3,14,,,,,,,,,
Finger_1_seq_1,9,14,,,,,,,,,
Gac_1_seq_1,7,14,,,,,,,,,
Noni_1_seq_1,14,14,,,,,,,,,
Sapota_1_seq_1,2,14,,,,,,,,,
Tamanid_1_seq_1,14,14,,,,,,,,,
ZF_1_seq_1,7,14,,,,,,,,,
Ackee_1_seq_3,14,14,,,,,,,,,
Ake_1_seq_3,3,14,,,,,,,,,
Finger_1_seq_3,9,14,,,,,,,,,
Gac_1_seq_3,7,14,,,,,,,,,
Noni_1_seq_3,14,14,,,,,,,,,
Sapota_1_seq_3,2,14,,,,,,,,,
Tamanid_1_seq_3,14,14,,,,,,,,,
ZF_1_seq_3,7,14,,,,,,,,,
Ackee_1_seq_5,14,14,,,,,,,,,
Ake_1_seq_5,3,14,,,,,,,,,
Finger_1_seq_5,9,14,,,,,,,,,
Gac_1_seq_5,7,14,,,,,,,,,
Noni_1_seq_5,14,14,,,,,,,,,
Sapota_1_seq_5,2,14,,,,,,,,,
Tamanid_1_seq_5,14,14,,,,,,,,,
ZF_1_seq_5,7,14,,,,,,,,,
Ackee_1_seq_7,14,14,,,,,,,,,
Ake_1_seq_7,3,14,,,,,,,,,
Finger_1_seq_7,9,14,,,,,,,,,
Gac_1_seq_7,7,14,,,,,,,,,
Noni_1_seq_7,14,14,,,,,,,,,
Sapota_1_seq_7,2,14,,,,,,,,,
Tamanid_1_seq_7,14,14,,,,,,,,,
ZF_1_seq_7,7,14,,,,,,,,,
Ackee_1_seq_9,14,14,,,,,,,,,
Ake_1_seq_9,3,14,,,,,,,,,
Finger_1_seq_9,9,14,,,,,,,,,
Gac_1_seq_9,7,14,,,,,,,,,
Noni_1_seq_9,14,14,,,,,,,,,
Sapota_1_seq_9,2,14,,,,,,,,,
Tamanid_1_seq_9,14,14,,,,,,,,,
ZF_1_seq_9,7,14,,,,,,,,,
Ackee_1_seq_11,14,14,,,,,,,,,
Ake_1_seq_11,3,14,,,,,,,,,
Finger_1_seq_11,9,14,,,,,,,,,
Gac_1_seq_11,7,14,,,,,,,,,
Noni_1_seq_11,14,14,,,,,,,,,
Sapota_1_seq_11,2,14,,,,,,,,,
Tamanid_1_seq_11,14,14,,,,,,,,,
ZF_1_seq_11,7,14,,,,,,,,,
Ackee_1_seq_13,14,14,,,,,,,,,
Ake_1_seq_13,3,14,,,,,,,,,
Finger_1_seq_13,9,14,,,,,,,,,
Gac_1_seq_13,7,14,,,,,,,,,
Noni_1_seq_13,14,14,,,,,,,,,
Sapota_1_seq_13,2,14,,,,,,,,,
Tamanid_1_seq_13,14,14,,,,,,,,,
ZF_1_seq_13,7,14,,,,,,,,,
Ackee_1_seq_15,14,14,,,,,,,,,
Ake_1_seq_15,3,14,,,,,,,,,
Finger_1_seq_15,9,14,,,,,,,,,
Gac_1_seq_15,7,14,,,,,,,,,
Noni_1_seq_15,14,14,,,,,,,,,
Sapota_1_seq_15,2,14,,,,,,,,,
Tamanid_1_seq_15,14,14,,,,,,,,,
ZF_1_seq_15,7,14,,,,,,,,,
Ackee_1_seq_17,14,14,,,,,,,,,
Ake_1_seq_17,3,14,,,,,,,,,
Finger_1_seq_17,9,14,,,,,,,,,
Gac_1_seq_17,7,14,,,,,,,,,
Noni_1_seq_17,14,14,,,,,,,,,
Sapota_1_seq_17,2,14,,,,,,,,,
Tamanid_1_seq_17,14,14,,,,,,,,,
ZF_1_seq_17,7,14,,,,,,,,,
Ackee_1_seq_19,14,14,,,,,,,,,
Ake_1_seq_19,3,14,,,,,,,,,
Finger_1_seq_19,9,14,,,,,,,,,
Gac_1_seq_19,7,14,,,,,,,,,
Noni_1_seq_19,14,14,,,,,,,,,
Sapota_1_seq_19,2,14,,,,,,,,,
Tamanid_1_seq_19,14,14,,,,,,,,,
ZF_1_seq_19,7,14,,,,,,,,,
Ackee_1_seq_21,14,14,,,,,,,,,
Ake_1_seq_21,3,14,,,,,,,,,
Finger_1_seq_21,9,14,,,,,,,,,
Gac_1_seq_21,7,14,,,,,,,,,
Noni_1_seq_21,14,14,,,,,,,,,
Sapota_1_seq_21,2,14,,,,,,,,,
Tamanid_1_seq_21,14,14,,,,,,,,,
ZF_1_seq_21,7,14,,,,,,,,,
Ackee_1_seq_23,14,14,,,,,,,,,
Ake_1_seq_23,3,14,,,,,,,,,
Finger_1_seq_23,9,14,,,,,,,,,
Gac_1_seq_23,7,14,,,,,,,,,
Noni_1_seq_23,14,14,,,,,,,,,
Sapota_1_seq_23,2,14,,,,,,,,,
Tamanid_1_seq_23,14,14,,,,,,,,,
ZF_1_seq_23,7,14,,,,,,,,,
Ackee_1_seq_25,14,14,,,,,,,,,
Ake_1_seq_25,3,14,,,,,,,,,
Finger_1_seq_25,9,14,,,,,,,,,
Gac_1_seq_25,7,14,,,,,,,,,
Noni_1_seq_25,14,14,,,,,,,,,
Sapota_1_seq_25,2,14,,,,,,,,,
Tamanid_1_seq_25,14,14,,,,,,,,,
ZF_1_seq_25,7,14,,,,,,,,,
Ackee_1_seq_27,14,14,,,,,,,,,
Ake_1_seq_27,3,14,,,,,,,,,
Finger_1_seq_27,9,14,,,,,,,,,
Gac_1_seq_27,7,14,,,,,,,,,
Noni_1_seq_27,14,14,,,,,,,,,
Sapota_1_seq_27,2,14,,,,,,,,,
Tamanid_1_seq_27,14,14,,,,,,,,,
ZF_1_seq_27,7,14,,,,,,,,,
Ackee_1_seq_29,14,14,,,,,,,,,
Ake_1_seq_29,3,14,,,,,,,,,
Finger_1_seq_29,9,14,,,,,,,,,
Gac_1_seq_29,7,14,,,,,,,,,
Noni_1_seq_29,14,14,,,,,,,,,
Sapota_1_seq_29,2,14,,,,,,,,,
Tamanid_1_seq_29,14,14,,,,,,,,,
ZF_1_seq_29,7,14,,,,,,,,,
Ackee_1_seq_31,14,14,,,,,,,,,
Ake_1_seq_31,3,14,,,,,,,,,
Finger_1_seq_31,9,14,,,,,,,,,
Gac_1_seq_31,7,14,,,,,,,,,
Noni_1_seq_31,14,14,,,,,,,,,
Sapota_1_seq_31,2,14,,,,,,,,,
Tamanid_1_seq_31,14,14,,,,,,,,,
ZF_1_seq_31,7,14,,,,,,,,,
Ackee_1_seq_2,13,14,,,,,,,,,
Ake_1_seq_2,9,14,,,,,,,,,
Finger_1_seq_2,7,14,,,,,,,,,
Gac_1_seq_2,9,14,,,,,,,,,
Noni_1_seq_2,2,14,,,,,,,,,
Sapota_1_seq_2,14,14,,,,,,,,,
Tamanid_1_seq_2,13,14,,,,,,,,,
ZF_1_seq_2,9,14,,,,,,,,,
Ackee_1_seq_4,13,14,,,,,,,,,
Ake_1_seq_4,9,14,,,,,,,,,
Finger_1_seq_4,7,14,,,,,,,,,
Gac_1_seq_4,9,14,,,,,,,,,
Noni_1_seq_4,2,14,,,,,,,,,
Sapota_1_seq_4,14,14,,,,,,,,,
Tamanid_1_seq_4,13,14,,,,,,,,,
ZF_1_seq_4,9,14,,,,,,,,,
Ackee_1_seq_6,13,14,,,,,,,,,
Ake_1_seq_6,9,14,,,,,,,,,
Finger_1_seq_6,7,14,,,,,,,,,
