sound_code,pic_name,слово,sound,sound_trigger,метка_seq1,название категории,,pic_name,№_pic,pic,№_old,pic_code,pic_file,pic_trigger,quest1_a,quest1_a_sound_id,quest1_a_sound,quest1_a_trigger,ans,quest1_b,quest1_b_sound_id,quest1_b_sound,quest1_b_sound_trigger,quest2_b,quest2_b_sound_id,quest2_b_sound,ans,quest2_b_sound_trigger,ac_row,Дистракторы,dis_for_EE,dis_for_FM,Экспл_реал,FM_цель,FM_Экспл_реал,,Тропики,Огород,Тропики_короткие,Ogorod_short,,,,,,,Новые_понятия,,Известные_понятия,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_1,Tomat_1,,2057,pics\\Tomat_1.jpg,207,,0,0,0,0,,289,sound\\Na_ecrane.wav,801,,89,sound\\Celiy_li_on.wav,да,804,2159,pics\\Injir_7.jpg,pics\\dis16.jpg,,pics\\Tomat_1.jpg,0,pics\\Tomat_1.jpg,pics\\Tomat,,pics\\Tomat_1.jpg,pics\\Kokos_1.jpg,pics\\Tomat_1.jpg,0.216854883,pics\\Injir_1.jpg,pics\\Tikva_1.jpg,,,0.009214711,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_2,Tomat_2,,2058,pics\\Tomat_2.jpg,207,,0,0,0,0,,290,sound\\Posmotrite_vot.wav,801,,90,sound\\Myasistiy_li_on.wav,да,804,2169,pics\\dis6.jpg,pics\\dis6.jpg,,pics\\Tomat_2.jpg,0,pics\\Tomat_2.jpg,pics\\Tomat,,pics\\Tomat_2.jpg,pics\\Kokos_2.jpg,pics\\Tomat_2.jpg,0.976192564,pics\\Kokos_1.jpg,pics\\Tomat_1.jpg,,,0.034183764,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_3,Tomat_3,,2059,pics\\Tomat_3.jpg,207,,0,0,0,0,,291,sound\\Vot.wav,801,,91,sound\\Gorkiy_li_on.wav,нет,804,2204,pics\\dis52.jpg,pics\\dis52.jpg,,pics\\Tomat_3.jpg,0,pics\\Tomat_3.jpg,pics\\Tomat,,pics\\Tomat_3.jpg,pics\\Kokos_3.jpg,pics\\Tomat_3.jpg,0.708923868,pics\\Kokos_8.jpg,pics\\Tomat_8.jpg,,,0.192064516,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_4,Tomat_4,,2060,pics\\Tomat_4.jpg,207,,0,0,0,0,,292,sound\\Eto.wav,801,,92,sound\\On_yarkiy.wav,да,804,2194,pics\\dis55.jpg,pics\\dis55.jpg,,pics\\Tomat_4.jpg,0,pics\\Tomat_4.jpg,pics\\Tomat,,pics\\Tomat_4.jpg,pics\\Kokos_4.jpg,pics\\Tomat_4.jpg,0.088862797,pics\\Injir_5.jpg,pics\\Tikva_5.jpg,,,0.733630966,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_5,Tomat_5,,2061,pics\\Tomat_5.jpg,207,,0,0,0,0,,293,sound\\Na_kartinke.wav,801,,93,sound\\On_ostriy.wav,нет,804,2212,pics\\dis61.jpg,pics\\dis61.jpg,,pics\\Tomat_5.jpg,0,pics\\Tomat_5.jpg,pics\\Tomat,,pics\\Tomat_5.jpg,pics\\Kokos_5.jpg,pics\\Tomat_5.jpg,0.030393303,pics\\Injir_8.jpg,pics\\Tikva_8.jpg,,,0.60910822,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_6,Tomat_6,,2062,pics\\Tomat_6.jpg,207,,0,0,0,0,,294,sound\\Na_monitore.wav,801,,94,sound\\On_speliy.wav,да,804,2187,pics\\dis1.jpg,pics\\dis1.jpg,,pics\\Tomat_6.jpg,0,pics\\Tomat_6.jpg,pics\\Tomat,,pics\\Tomat_6.jpg,pics\\Kokos_6.jpg,pics\\Tomat_6.jpg,0.914906095,pics\\Kokos_3.jpg,pics\\Tomat_3.jpg,,,0.000527156,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_7,Tomat_7,,2063,pics\\Tomat_7.jpg,207,,0,0,0,0,,295,sound\\Pered_vami.wav,801,,95,sound\\On_seriy.wav,нет,804,2225,pics\\dis9.jpg,pics\\dis9.jpg,,pics\\Tomat_7.jpg,0,pics\\Tomat_7.jpg,pics\\Tomat,,pics\\Tomat_7.jpg,pics\\Kokos_7.jpg,pics\\Tomat_7.jpg,0.929451337,pics\\Kokos_2.jpg,pics\\Tomat_2.jpg,,,0.948446522,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
300,Tomat,Tomato,sound\\Ogorodniy_plod.wav,119,13,экспл_реал_без_названия,экспл,Tomat,_8,Tomat_8,,2064,pics\\Tomat_8.jpg,207,,0,0,0,0,,296,sound\\Vi_vidite.wav,801,,96,sound\\Vyazkiy_li_on.wav,нет,804,2219,pics\\dis17.jpg,pics\\dis17.jpg,,pics\\Tomat_8.jpg,0,pics\\Tomat_8.jpg,pics\\Tomat,,pics\\Tomat_8.jpg,pics\\Kokos_8.jpg,pics\\Tomat_8.jpg,0.801871006,pics\\Kokos_4.jpg,pics\\Tomat_4.jpg,,,0.869623508,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Ogorodniy_plod.wav,,,
1202,Limon,Lemon,sound\\Lemon.wav,101,10,импл_реал_с_названием,импл_,Limon,_1,Limon_1,,2033,pics\\Limon_1.jpg,204,,193,sound\\Stariy_li.wav,801,нет,,0,0,0,,0,0,0,0,2041,pics\\Peper_1.jpg,0,pics\\Peper_1.jpg,,sound\\Tropic,pics\\Kokos_1.jpg,pics\\Kokos,pics\\Kokos_1.jpg,,pics\\Finik_1.jpg,pics\\Peper_1.jpg,0.633229376,pics\\Finik_1.jpg,pics\\Peper_1.jpg,,pics\\Peper_1.jpg,0.021097387,sound\\Noviy_plod.wav,sound\\Redkiy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
1202,Limon,Lemon,sound\\Lemon.wav,101,10,импл_реал_с_названием,импл_,Limon,_2,Limon_2,,2034,pics\\Limon_2.jpg,204,,194,sound\\Siniy_li.wav,801,нет,,0,0,0,,0,0,0,0,2047,pics\\Peper_7.jpg,0,pics\\Peper_7.jpg,,sound\\Tropic,pics\\Kokos_2.jpg,pics\\Kokos,pics\\Kokos_2.jpg,,pics\\Finik_2.jpg,pics\\Peper_2.jpg,0.305101744,pics\\Finik_7.jpg,pics\\Peper_7.jpg,,pics\\Peper_7.jpg,0.713586547,sound\\Noviy_plod.wav,sound\\Noviy_plod.wav,sound\\Tropicheskiy_plod.wav,,,
