1,2,3,4,5
257,1213,2032,2113,1307
296,298,2197,2152,160
293,297,2223,2093,125
280,298,2024,2144,1306
293,300,2227,2021,53
207,1205,2155,2047,1308
261,1213,2117,2049,1306
185,299,2023,2025,1307
294,1202,2206,2038,70
292,298,2204,2148,156
295,1210,2173,2079,111
241,298,2081,2033,1309
203,1205,2043,2033,1307
187,299,2027,2024,1310
294,300,2169,2054,86
275,298,2028,2139,1307
296,300,2197,2024,56
289,1202,2217,2033,65
291,297,2229,2091,123
264,1213,2120,2025,1310
169,299,2009,2021,1306
201,1205,2156,2041,1307
290,1214,2232,2130,138
226,1209,2019,2066,1306
290,1206,2232,2002,30
293,1206,2182,2005,33
289,300,2190,2049,81
296,1202,2040,2224,72
223,1201,2036,2063,1306
202,1205,2042,2153,1310
242,298,2082,2026,1308
290,300,2050,2185,82
192,299,2017,2032,1306
228,1209,2056,2068,1306
171,299,2011,2162,1309
227,1209,2067,2045,1308
260,1213,2116,2055,1309
291,1210,2075,2178,107
217,1201,2057,2159,1308
292,1202,2036,2203,68
292,1210,2203,2076,108
278,297,2001,2142,1308
173,299,2168,2013,1306
219,1201,2154,2059,1310
291,1206,2003,2183,31
170,299,2010,2018,1309
205,1205,2045,2158,1306
229,1209,2069,2058,1306
292,300,2213,2052,84
246,297,2086,2046,1306
274,297,2038,2138,1307
220,1201,2060,2157,1310
225,1209,2065,2008,1308
294,1210,2206,2078,110
224,1201,2004,2064,1309
273,298,2137,2048,1310
230,1209,2034,2070,1306
218,1201,2002,2058,1308
294,1206,2006,2225,34
293,300,2053,2223,85
290,1210,2074,2170,106
296,300,2219,2056,88
294,1214,2134,2225,142
263,1213,2035,2119,1310
243,298,2083,2029,1306
208,1205,2039,2048,1310
292,1206,2004,2215,32
232,1209,2072,2020,1306
293,1214,2182,2133,141
295,298,2095,2181,127
290,1202,2170,2034,66
295,300,2181,2055,87
292,298,2092,2213,124
295,1206,2214,2007,35
258,1213,2030,2114,1310
222,1201,2062,2003,1306
295,297,2175,2151,159
247,298,2087,2053,1308
289,1214,2129,2230,137
294,298,2205,2150,158
292,1214,2132,2215,140
296,1206,2008,2226,40
245,297,2012,2085,1306
290,300,2018,2189,50
295,300,2175,2023,55
190,299,2056,2030,1309
186,299,2167,2026,1307
174,299,2014,2019,1309
291,1214,2183,2131,139
290,298,2189,2146,154
294,300,2022,2205,54
262,1213,2031,2118,1309
291,300,2019,2209,51
293,1210,2231,2077,109
189,299,2054,2029,1307
296,1214,2136,2226,144
296,298,2096,2219,128
289,300,2017,2184,49
289,298,2184,2145,153
188,299,2050,2028,1307
289,1206,2230,2001,29
296,1210,2224,2080,112
291,298,2147,2209,155
206,1205,2046,2035,1310
172,299,2012,2165,1309
231,1209,2071,2015,1309
295,1202,2039,2173,71
244,297,2017,2084,1306
289,1210,2073,2217,105
279,298,2143,2042,1310
295,1214,2135,2214,143
175,299,2015,2052,1309
294,297,2169,2094,126
221,1201,2061,2160,1308
248,298,2088,2036,1310
204,1205,2006,2044,1307
277,297,2054,2141,1310
259,1213,2115,2044,1307
276,297,2140,2061,1309
290,298,2185,2090,122
291,1202,2035,2178,67
292,300,2020,2204,52
293,1202,2231,2037,69
191,299,2031,2053,1307
291,300,2229,2051,83
176,299,2020,2016,1310
289,298,2089,2190,121
293,297,2227,2149,157
